# dt           R           V
  0.0000e+00  5.7589e+00  5.1799e+00
  0.0000e+00  1.1723e-01  1.6490e+00
  0.0000e+00  2.4632e+00  4.6786e+00
  1.0010e-01  3.6639e+05  7.8908e+06
  1.0010e-01  7.4586e+03  1.6063e+05
  1.0010e-01 -3.1341e+05 -6.7500e+06
  2.0020e-01  1.4655e+06  1.5782e+07
  2.0020e-01  2.9834e+04  3.2126e+05
  2.0020e-01 -1.2537e+06 -1.3500e+07
  3.0030e-01  3.2975e+06  2.3672e+07
  3.0030e-01  6.7126e+04  4.8189e+05
  3.0030e-01 -2.8207e+06 -2.0250e+07
  4.0040e-01  5.8622e+06  3.1563e+07
  4.0040e-01  1.1933e+05  6.4252e+05
  4.0040e-01 -5.0146e+06 -2.7000e+07
  5.0050e-01  9.1596e+06  3.9454e+07
  5.0050e-01  1.8646e+05  8.0315e+05
  5.0050e-01 -7.8354e+06 -3.3750e+07
  6.0060e-01  1.3190e+07  4.7345e+07
  6.0060e-01  2.6850e+05  9.6378e+05
  6.0060e-01 -1.1283e+07 -4.0500e+07
  7.0070e-01  1.7953e+07  5.5236e+07
  7.0070e-01  3.6546e+05  1.1244e+06
  7.0070e-01 -1.5357e+07 -4.7250e+07
  8.0080e-01  2.3449e+07  6.3126e+07
  8.0080e-01  4.7734e+05  1.2850e+06
  8.0080e-01 -2.0059e+07 -5.4000e+07
  9.0090e-01  2.9677e+07  7.1017e+07
  9.0090e-01  6.0413e+05  1.4457e+06
  9.0090e-01 -2.5387e+07 -6.0750e+07
  1.0010e+00  3.6638e+07  7.8908e+07
  1.0010e+00  7.4584e+05  1.6063e+06
  1.0010e+00 -3.1342e+07 -6.7500e+07
  1.1011e+00  4.4333e+07  8.6799e+07
  1.1011e+00  9.0246e+05  1.7669e+06
  1.1011e+00 -3.7923e+07 -7.4250e+07
  1.2012e+00  5.2759e+07  9.4689e+07
  1.2012e+00  1.0740e+06  1.9276e+06
  1.2012e+00 -4.5132e+07 -8.1000e+07
  1.3013e+00  6.1919e+07  1.0258e+08
  1.3013e+00  1.2605e+06  2.0882e+06
  1.3013e+00 -5.2967e+07 -8.7750e+07
  1.4014e+00  7.1811e+07  1.1047e+08
  1.4014e+00  1.4618e+06  2.2488e+06
  1.4014e+00 -6.1429e+07 -9.4500e+07
  1.5015e+00  8.2437e+07  1.1836e+08
  1.5015e+00  1.6781e+06  2.4095e+06
  1.5015e+00 -7.0518e+07 -1.0125e+08
  1.6016e+00  9.3795e+07  1.2625e+08
  1.6016e+00  1.9093e+06  2.5701e+06
  1.6016e+00 -8.0234e+07 -1.0800e+08
  1.7017e+00  1.0589e+08  1.3414e+08
  1.7017e+00  2.1555e+06  2.7307e+06
  1.7017e+00 -9.0577e+07 -1.1475e+08
  1.8018e+00  1.1871e+08  1.4203e+08
  1.8018e+00  2.4165e+06  2.8913e+06
  1.8018e+00 -1.0155e+08 -1.2150e+08
  1.9019e+00  1.3226e+08  1.4992e+08
  1.9019e+00  2.6925e+06  3.0520e+06
  1.9019e+00 -1.1314e+08 -1.2825e+08
  2.0020e+00  1.4655e+08  1.5782e+08
  2.0020e+00  2.9833e+06  3.2126e+06
  2.0020e+00 -1.2537e+08 -1.3500e+08
  2.1021e+00  1.6158e+08  1.6571e+08
  2.1021e+00  3.2891e+06  3.3732e+06
  2.1021e+00 -1.3822e+08 -1.4175e+08
  2.2022e+00  1.7733e+08  1.7360e+08
  2.2022e+00  3.6099e+06  3.5339e+06
  2.2022e+00 -1.5169e+08 -1.4850e+08
  2.3023e+00  1.9382e+08  1.8149e+08
  2.3023e+00  3.9455e+06  3.6945e+06
  2.3023e+00 -1.6580e+08 -1.5525e+08
  2.4024e+00  2.1104e+08  1.8938e+08
  2.4024e+00  4.2960e+06  3.8551e+06
  2.4024e+00 -1.8053e+08 -1.6200e+08
  2.5025e+00  2.2899e+08  1.9727e+08
  2.5025e+00  4.6615e+06  4.0157e+06
  2.5025e+00 -1.9588e+08 -1.6875e+08
  2.6026e+00  2.4768e+08  2.0516e+08
  2.6026e+00  5.0419e+06  4.1764e+06
  2.6026e+00 -2.1187e+08 -1.7550e+08
  2.7027e+00  2.6709e+08  2.1305e+08
  2.7027e+00  5.4371e+06  4.3370e+06
  2.7027e+00 -2.2848e+08 -1.8225e+08
  2.8028e+00  2.8725e+08  2.2094e+08
  2.8028e+00  5.8474e+06  4.4976e+06
  2.8028e+00 -2.4572e+08 -1.8900e+08
  2.9029e+00  3.0813e+08  2.2883e+08
  2.9029e+00  6.2725e+06  4.6583e+06
  2.9029e+00 -2.6358e+08 -1.9575e+08
  3.0030e+00  3.2975e+08  2.3672e+08
  3.0030e+00  6.7125e+06  4.8189e+06
  3.0030e+00 -2.8207e+08 -2.0250e+08
  3.1031e+00  3.5210e+08  2.4461e+08
  3.1031e+00  7.1675e+06  4.9795e+06
  3.1031e+00 -3.0119e+08 -2.0925e+08
  3.2032e+00  3.7518e+08  2.5251e+08
  3.2032e+00  7.6374e+06  5.1402e+06
  3.2032e+00 -3.2094e+08 -2.1600e+08
  3.3033e+00  3.9899e+08  2.6040e+08
  3.3033e+00  8.1222e+06  5.3008e+06
  3.3033e+00 -3.4131e+08 -2.2275e+08
  3.4034e+00  4.2354e+08  2.6829e+08
  3.4034e+00  8.6219e+06  5.4614e+06
  3.4034e+00 -3.6231e+08 -2.2950e+08
  3.5035e+00  4.4882e+08  2.7618e+08
  3.5035e+00  9.1365e+06  5.6220e+06
  3.5035e+00 -3.8393e+08 -2.3625e+08
  3.6036e+00  4.7483e+08  2.8407e+08
  3.6036e+00  9.6660e+06  5.7827e+06
  3.6036e+00 -4.0619e+08 -2.4300e+08
  3.7037e+00  5.0158e+08  2.9196e+08
  3.7037e+00  1.0211e+07  5.9433e+06
  3.7037e+00 -4.2907e+08 -2.4975e+08
  3.8038e+00  5.2906e+08  2.9985e+08
  3.8038e+00  1.0770e+07  6.1039e+06
  3.8038e+00 -4.5257e+08 -2.5650e+08
  3.9039e+00  5.5727e+08  3.0774e+08
  3.9039e+00  1.1344e+07  6.2646e+06
  3.9039e+00 -4.7670e+08 -2.6325e+08
  4.0040e+00  5.8622e+08  3.1563e+08
  4.0040e+00  1.1933e+07  6.4252e+06
  4.0040e+00 -5.0146e+08 -2.7000e+08
  4.1041e+00  6.1589e+08  3.2352e+08
  4.1041e+00  1.2538e+07  6.5858e+06
  4.1041e+00 -5.2685e+08 -2.7675e+08
  4.2042e+00  6.4630e+08  3.3141e+08
  4.2042e+00  1.3157e+07  6.7465e+06
  4.2042e+00 -5.5286e+08 -2.8350e+08
  4.3043e+00  6.7745e+08  3.3930e+08
  4.3043e+00  1.3791e+07  6.9071e+06
  4.3043e+00 -5.7950e+08 -2.9025e+08
  4.4044e+00  7.0932e+08  3.4719e+08
  4.4044e+00  1.4439e+07  7.0677e+06
  4.4044e+00 -6.0677e+08 -2.9700e+08
  4.5045e+00  7.4193e+08  3.5509e+08
  4.5045e+00  1.5103e+07  7.2283e+06
  4.5045e+00 -6.3467e+08 -3.0375e+08
  4.6046e+00  7.7527e+08  3.6298e+08
  4.6046e+00  1.5782e+07  7.3890e+06
  4.6046e+00 -6.6319e+08 -3.1050e+08
  4.7047e+00  8.0934e+08  3.7087e+08
  4.7047e+00  1.6476e+07  7.5496e+06
  4.7047e+00 -6.9233e+08 -3.1725e+08
  4.8048e+00  8.4415e+08  3.7876e+08
  4.8048e+00  1.7184e+07  7.7102e+06
  4.8048e+00 -7.2211e+08 -3.2400e+08
  4.9049e+00  8.7969e+08  3.8665e+08
  4.9049e+00  1.7908e+07  7.8709e+06
  4.9049e+00 -7.5251e+08 -3.3075e+08
  5.0050e+00  9.1596e+08  3.9454e+08
  5.0050e+00  1.8646e+07  8.0315e+06
  5.0050e+00 -7.8354e+08 -3.3750e+08
  5.1051e+00  9.5297e+08  4.0243e+08
  5.1051e+00  1.9399e+07  8.1921e+06
  5.1051e+00 -8.1519e+08 -3.4425e+08
  5.2052e+00  9.9070e+08  4.1032e+08
  5.2052e+00  2.0167e+07  8.3528e+06
  5.2052e+00 -8.4747e+08 -3.5100e+08
  5.3053e+00  1.0292e+09  4.1821e+08
  5.3053e+00  2.0951e+07  8.5134e+06
  5.3053e+00 -8.8038e+08 -3.5775e+08
  5.4054e+00  1.0684e+09  4.2610e+08
  5.4054e+00  2.1749e+07  8.6740e+06
  5.4054e+00 -9.1392e+08 -3.6450e+08
  5.5055e+00  1.1083e+09  4.3399e+08
  5.5055e+00  2.2562e+07  8.8346e+06
  5.5055e+00 -9.4808e+08 -3.7125e+08
  5.6056e+00  1.1490e+09  4.4188e+08
  5.6056e+00  2.3389e+07  8.9953e+06
  5.6056e+00 -9.8287e+08 -3.7800e+08
  5.7057e+00  1.1904e+09  4.4977e+08
  5.7057e+00  2.4232e+07  9.1559e+06
  5.7057e+00 -1.0183e+09 -3.8475e+08
  5.8058e+00  1.2325e+09  4.5767e+08
  5.8058e+00  2.5090e+07  9.3165e+06
  5.8058e+00 -1.0543e+09 -3.9150e+08
  5.9059e+00  1.2754e+09  4.6556e+08
  5.9059e+00  2.5963e+07  9.4772e+06
  5.9059e+00 -1.0910e+09 -3.9825e+08
  6.0060e+00  1.3190e+09  4.7345e+08
  6.0060e+00  2.6850e+07  9.6378e+06
  6.0060e+00 -1.1283e+09 -4.0500e+08
  6.1061e+00  1.3633e+09  4.8134e+08
  6.1061e+00  2.7753e+07  9.7984e+06
  6.1061e+00 -1.1662e+09 -4.1175e+08
  6.2062e+00  1.4084e+09  4.8923e+08
  6.2062e+00  2.8670e+07  9.9591e+06
  6.2062e+00 -1.2048e+09 -4.1850e+08
  6.3063e+00  1.4542e+09  4.9712e+08
  6.3063e+00  2.9602e+07  1.0120e+07
  6.3063e+00 -1.2439e+09 -4.2525e+08
  6.4064e+00  1.5007e+09  5.0501e+08
  6.4064e+00  3.0549e+07  1.0280e+07
  6.4064e+00 -1.2837e+09 -4.3200e+08
  6.5065e+00  1.5480e+09  5.1290e+08
  6.5065e+00  3.1512e+07  1.0441e+07
  6.5065e+00 -1.3242e+09 -4.3875e+08
  6.6066e+00  1.5960e+09  5.2079e+08
  6.6066e+00  3.2489e+07  1.0602e+07
  6.6066e+00 -1.3652e+09 -4.4550e+08
  6.7067e+00  1.6447e+09  5.2868e+08
  6.7067e+00  3.3481e+07  1.0762e+07
  6.7067e+00 -1.4069e+09 -4.5225e+08
  6.8068e+00  1.6942e+09  5.3657e+08
  6.8068e+00  3.4487e+07  1.0923e+07
  6.8068e+00 -1.4492e+09 -4.5900e+08
  6.9069e+00  1.7444e+09  5.4446e+08
  6.9069e+00  3.5509e+07  1.1083e+07
  6.9069e+00 -1.4922e+09 -4.6575e+08
